product_id,old_sku,new_sku,name
7989,,TZ-BRAN-SUPE-98F3,"Super Monkey Ball Banana Mania"
7988,,TZ-BRAN-SUPE-3D17,"Super Mario 3D World + Bowser’s Fury"
7984,,TZ-BRAN-SUPE-349E,"Super Mario Bros Wonder"
7983,,TZ-BRAN-SUPE-6F39,"Super Dragon Ball Heroes World Mission"
7981,,TZ-BRAN-SPLA-1B34,"Splatoon 3"
7974,,TZ-BRAN-SHIN-3EFF,"Shin Megami Tensei V"
7968,,TZ-BRAN-PRIN-D037,"Prinny Presents Nis Classics Volume 1 Deluxe Edition"
7967,,TZ-BRAN-PIKM-2573,"Pikmin 4"
7966,,TZ-BRAN-PUYO-1263,"Puyo Puyo Tetris 2"
7964,,TZ-BRAN-POKE-626D,"Pokemon: Let's Go Pikachu!"
7958,,TZ-BRAN-POKE-E7F7,"Pokemon Legends: Arceus"
7954,,TZ-BRAN-OVER-CCC7,"Overcooked! All You Can Eat"
7952,,TZ-BRAN-ORIA-DFDB,"Ori And The Blind Forest: Definitive Edition"
7951,,TZ-BRAN-NOMO-F273,"No More Heroes 3"
7950,,TZ-BRAN-NINT-8413,"Nintendo Switch Sports (Includes leg strap)"
7947,,TZ-BRAN-NEWT-F78E,"New Tales From The Borderlands"
7946,,TZ-BRAN-NEWS-2EE2,"New Super Mario Bros. U Deluxe"
7944,,TZ-BRAN-NEOG-8D48,"Neogeo Pocket Color Selection Vol 1"
7943,,TZ-BRAN-NBA2-5A21,"NBA 2K24 Kobe Bryant Edition"
7940,,TZ-BRAN-MOVI-E63F,"Moving Out 2"
7937,,TZ-BRAN-MINE-9F4B,"Minecraft Legends Deluxe Edition"
7936,,TZ-BRAN-MINE-61D1,"Minecraft"
7932,,TZ-BRAN-MARI-3ABA,"Mario Vs Donkey Kong"
7930,,TZ-BRAN-MARI-0329,"Mario Strikers: Battle League"
7929,,TZ-BRAN-MARI-7DA8,"Mario Party Superstars"
7928,,TZ-BRAN-MARI-4388,"Mario Kart 8 Deluxe"
7922,,TZ-BRAN-LEGO-3D46,"Lego The Incredibles"
7920,,TZ-BRAN-LEGO-B459,"Lego DC Super-Villian"
7916,,TZ-BRAN-KAOT-08A5,"Kao the Kangeroo"
7914,,TZ-BRAN-ITTA-43F5,"It Takes Two"
7912,,TZ-BRAN-HYRU-EA2A,"Hyrule Warriors: Age of Calmity"
7911,,TZ-BRAN-HOGW-389A,"Hogwarts Legacy"
